,open_covid_region_code,date,hospitalized_new
476,FR-13,2020-07-23,38.0
477,FR-13,2020-07-30,38.0
478,FR-13,2020-08-06,42.0
479,FR-13,2020-08-13,91.0
480,FR-13,2020-08-20,180.0
481,FR-13,2020-08-27,222.0
482,FR-13,2020-09-03,352.0
483,FR-13,2020-09-10,353.0
484,FR-13,2020-09-17,426.0
485,FR-13,2020-09-24,377.0
486,FR-13,2020-10-01,46.0
487,FR-14,2020-03-19,53.0
488,FR-14,2020-03-26,106.0
489,FR-14,2020-04-02,102.0
490,FR-14,2020-04-09,56.0
491,FR-14,2020-04-16,44.0
492,FR-14,2020-04-23,33.0
493,FR-14,2020-04-30,29.0
494,FR-14,2020-05-07,19.0
495,FR-14,2020-05-14,17.0
496,FR-14,2020-05-21,10.0
497,FR-14,2020-05-28,0.0
498,FR-14,2020-06-04,1.0
499,FR-14,2020-06-11,2.0
500,FR-14,2020-06-18,2.0
501,FR-14,2020-06-25,0.0
502,FR-14,2020-07-02,1.0
503,FR-14,2020-07-09,0.0
504,FR-14,2020-07-16,2.0
505,FR-14,2020-07-23,1.0
506,FR-14,2020-07-30,3.0
507,FR-14,2020-08-06,4.0
508,FR-14,2020-08-13,2.0
509,FR-14,2020-08-20,3.0
510,FR-14,2020-08-27,0.0
511,FR-14,2020-09-03,7.0
512,FR-14,2020-09-10,17.0
513,FR-14,2020-09-17,28.0
514,FR-14,2020-09-24,16.0
515,FR-14,2020-10-01,4.0
516,FR-15,2020-03-19,6.0
517,FR-15,2020-03-26,9.0
518,FR-15,2020-04-02,19.0
519,FR-15,2020-04-09,6.0
520,FR-15,2020-04-16,12.0
521,FR-15,2020-04-23,10.0
522,FR-15,2020-04-30,4.0
523,FR-15,2020-05-07,3.0
524,FR-15,2020-05-14,1.0
525,FR-15,2020-05-21,1.0
526,FR-15,2020-05-28,0.0
527,FR-15,2020-06-04,0.0
528,FR-15,2020-06-11,1.0
529,FR-15,2020-06-18,0.0
530,FR-15,2020-06-25,0.0
531,FR-15,2020-07-02,1.0
532,FR-15,2020-07-09,0.0
533,FR-15,2020-07-16,0.0
534,FR-15,2020-07-23,0.0
535,FR-15,2020-07-30,0.0
536,FR-15,2020-08-06,0.0
537,FR-15,2020-08-13,0.0
538,FR-15,2020-08-20,0.0
539,FR-15,2020-08-27,1.0
540,FR-15,2020-09-03,7.0
541,FR-15,2020-09-10,5.0
542,FR-15,2020-09-17,7.0
543,FR-15,2020-09-24,8.0
544,FR-15,2020-10-01,3.0
545,FR-16,2020-03-19,29.0
546,FR-16,2020-03-26,43.0
547,FR-16,2020-04-02,15.0
548,FR-16,2020-04-09,2.0
549,FR-16,2020-04-16,3.0
550,FR-16,2020-04-23,0.0
551,FR-16,2020-04-30,2.0
552,FR-16,2020-05-07,4.0
553,FR-16,2020-05-14,2.0
554,FR-16,2020-05-21,5.0
555,FR-16,2020-05-28,0.0
556,FR-16,2020-06-04,3.0
557,FR-16,2020-06-11,0.0
558,FR-16,2020-06-18,0.0
559,FR-16,2020-06-25,0.0
560,FR-16,2020-07-02,0.0
561,FR-16,2020-07-09,0.0
562,FR-16,2020-07-16,0.0
563,FR-16,2020-07-23,2.0
564,FR-16,2020-07-30,1.0
565,FR-16,2020-08-06,0.0
566,FR-16,2020-08-13,0.0
567,FR-16,2020-08-20,0.0
568,FR-16,2020-08-27,0.0
569,FR-16,2020-09-03,2.0
570,FR-16,2020-09-10,2.0
571,FR-16,2020-09-17,4.0
572,FR-16,2020-09-24,4.0
573,FR-16,2020-10-01,0.0
574,FR-17,2020-03-19,37.0
575,FR-17,2020-03-26,99.0
576,FR-17,2020-04-02,82.0
577,FR-17,2020-04-09,54.0
578,FR-17,2020-04-16,18.0
579,FR-17,2020-04-23,9.0
580,FR-17,2020-04-30,4.0
581,FR-17,2020-05-07,3.0
582,FR-17,2020-05-14,1.0
583,FR-17,2020-05-21,0.0
584,FR-17,2020-05-28,0.0
585,FR-17,2020-06-04,1.0
586,FR-17,2020-06-11,1.0
587,FR-17,2020-06-18,0.0
588,FR-17,2020-06-25,0.0
589,FR-17,2020-07-02,0.0
590,FR-17,2020-07-09,0.0
591,FR-17,2020-07-16,1.0
592,FR-17,2020-07-23,1.0
593,FR-17,2020-07-30,2.0
594,FR-17,2020-08-06,0.0
595,FR-17,2020-08-13,0.0
596,FR-17,2020-08-20,0.0
597,FR-17,2020-08-27,2.0
598,FR-17,2020-09-03,4.0
599,FR-17,2020-09-10,7.0
